Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Kakamega-101_S80_L001_paired_trim_R1	4.921460876331275	71.7648203083207
Kakamega-101_S80_L001_paired_trim_R2	6.244225064436123	69.85362058065448
Kakamega-102_S81_L001_paired_trim_R1	5.3383324406356	68.74218889484018
Kakamega-102_S81_L001_paired_trim_R2	5.735582931619353	67.81378325299059
Kakamega-103_S82_L001_paired_trim_R1	4.148526456798392	70.28633623576685
Kakamega-103_S82_L001_paired_trim_R2	4.784829202947086	68.56580709979903
Kakamega-105_S83_L001_paired_trim_R1	4.225269915377881	69.5418733586227
Kakamega-105_S83_L001_paired_trim_R2	5.23489932885906	67.09074992704987
Kakamega-106_S84_L001_paired_trim_R1	2.7018175863762894	66.31734075650898
Kakamega-106_S84_L001_paired_trim_R2	3.0784345832651057	64.98280661535944
Kakamega-108_S85_L001_paired_trim_R1	5.90146750524109	63.126684636118554
Kakamega-108_S85_L001_paired_trim_R2	6.738544474393531	60.312967954477394
Kakamega-111_S86_L001_paired_trim_R1	3.3811922998514725	66.52590500043684
Kakamega-111_S86_L001_paired_trim_R2	4.056848297754609	63.887351836211664
Kakamega-114_S87_L001_paired_trim_R1	3.2909451083136303	64.60796217010669
Kakamega-114_S87_L001_paired_trim_R2	3.792574605406096	63.08070803246212
Kakamega-115_S88_L001_paired_trim_R1	2.3716601621134794	70.87361152806962
Kakamega-115_S88_L001_paired_trim_R2	3.6835785049534673	70.10807565295703
Kakamega-116_S89_L001_paired_trim_R1	3.415728853833207	69.21553744100854
Kakamega-116_S89_L001_paired_trim_R2	3.9899673278109637	66.92848420844201
Kakamega-91_S72_L001_paired_trim_R1	5.89973989122724	68.50319224402936
Kakamega-91_S72_L001_paired_trim_R2	4.05533222984157	63.82123433435808
Kakamega-92_S73_L001_paired_trim_R1	5.532770826258457	65.90214466706719
Kakamega-92_S73_L001_paired_trim_R2	6.285102270055641	60.6253755126564
Kakamega-93_S74_L001_paired_trim_R1	3.618200645672169	65.64536760674908
Kakamega-93_S74_L001_paired_trim_R2	4.142047877200463	63.878906012060604
Kakamega-94_S75_L001_paired_trim_R1	2.878361324143287	62.65411125133478
Kakamega-94_S75_L001_paired_trim_R2	3.368604989806815	58.93602562857971
Kakamega-96_S76_L001_paired_trim_R1	2.0993136859103756	71.49777957206297
Kakamega-96_S76_L001_paired_trim_R2	4.135827389763603	68.89158031669132
Kakamega-97_S77_L001_paired_trim_R1	2.3441351799560755	72.72645780108454
Kakamega-97_S77_L001_paired_trim_R2	2.5413473174667205	68.78669714490611
Kakamega-98_S78_L001_paired_trim_R1	3.772246201147047	71.05776621533734
Kakamega-98_S78_L001_paired_trim_R2	5.480990953704251	67.51019925501095
Kakamega-99_S79_L001_paired_trim_R1	3.3917538771907703	68.29529693607371
Kakamega-99_S79_L001_paired_trim_R2	3.814147018030513	66.54268062035057
Kilifi-Coast-61_S49_L001_paired_trim_R1	4.989308624376337	65.7163221667854
Kilifi-Coast-61_S49_L001_paired_trim_R2	5.462321000453574	61.575843970712114
Kilifi-Coast-62_S50_L001_paired_trim_R1	3.056903056903057	61.777161777161815
Kilifi-Coast-62_S50_L001_paired_trim_R2	3.54970354970355	60.80696080696082
Kilifi-Coast-63_S51_L001_paired_trim_R1	4.316939890710382	65.14207650273221
Kilifi-Coast-63_S51_L001_paired_trim_R2	5.169398907103825	62.37158469945355
Kilifi-Coast-64_S52_L001_paired_trim_R1	3.706194425764029	69.49861764925637
Kilifi-Coast-64_S52_L001_paired_trim_R2	3.9079429126503773	69.58828364342804
Kilifi-Coast-65_S53_L001_paired_trim_R1	4.255895906749797	71.07617240444573
Kilifi-Coast-65_S53_L001_paired_trim_R2	5.035239902412577	67.47085931146654
Kilifi-Coast-66_S54_L001_paired_trim_R1	3.661994652839666	67.79551162602282
Kilifi-Coast-66_S54_L001_paired_trim_R2	5.031191768613789	64.2307380701612
Kilifi-Coast-67_S55_L001_paired_trim_R1	2.5931074150409814	72.59742127210849
Kilifi-Coast-67_S55_L001_paired_trim_R2	3.5517423189378325	69.9611752863923
Kilifi-Coast-68_S56_L001_paired_trim_R1	3.539637658393549	63.483087234265334
Kilifi-Coast-68_S56_L001_paired_trim_R2	4.346004817258351	61.053513456906494
Kilifi-Coast-69_S57_L001_paired_trim_R1	4.222692249584529	71.45716875660979
Kilifi-Coast-69_S57_L001_paired_trim_R2	4.5135216800120865	70.19564888956033
Kilifi-Coast-71_S58_L001_paired_trim_R1	3.914754098360656	66.33442622950821
Kilifi-Coast-71_S58_L001_paired_trim_R2	4.963934426229509	63.85573770491799
Kilifi-Coast-72_S59_L001_paired_trim_R1	3.9091346925670254	65.6285117996467
Kilifi-Coast-72_S59_L001_paired_trim_R2	4.73591266655964	64.71343714881993
Kilifi-Coast-73_S60_L001_paired_trim_R1	3.080895008605852	62.32358003442339
Kilifi-Coast-73_S60_L001_paired_trim_R2	3.098106712564544	60.32702237521522
Kilifi-Coast-74_S61_L001_paired_trim_R1	5.506971516875637	61.79538510167521
Kilifi-Coast-74_S61_L001_paired_trim_R2	6.321778527025604	59.23155269904821
Kilifi-Coast-75_S62_L001_paired_trim_R1	3.5846347935789793	62.892069430547714
Kilifi-Coast-75_S62_L001_paired_trim_R2	3.7412450515508766	59.28568321225039
Kilifi-Coast-76_S63_L001_paired_trim_R1	2.589601813914635	63.582481403397104
Kilifi-Coast-76_S63_L001_paired_trim_R2	3.353355344285771	60.384263494967946
Kilifi-Coast-77_S64_L001_paired_trim_R1	3.843621657209142	69.03157036711922
Kilifi-Coast-77_S64_L001_paired_trim_R2	5.348465372919083	67.0470577170267
Kilifi-Coast-78_S65_L001_paired_trim_R1	3.3797216699801194	72.42858637647795
Kilifi-Coast-78_S65_L001_paired_trim_R2	4.075546719681909	69.49879669352305
Kilifi-Coast-79_S66_L001_paired_trim_R1	4.411828375979565	70.62389054855616
Kilifi-Coast-79_S66_L001_paired_trim_R2	5.624107026886609	64.33735983028104
