Sample	Unique Reads	Duplicate Reads
Kakamega-101_S80_L001_paired_trim_R1	2691.0	17872.0
Kakamega-101_S80_L001_paired_trim_R2	2830.0	17733.0
Kakamega-102_S81_L001_paired_trim_R1	3287.0	19117.0
Kakamega-102_S81_L001_paired_trim_R2	3348.0	19056.0
Kakamega-103_S82_L001_paired_trim_R1	3336.0	20552.0
Kakamega-103_S82_L001_paired_trim_R2	3616.0	20272.0
Kakamega-105_S83_L001_paired_trim_R1	2777.0	14358.0
Kakamega-105_S83_L001_paired_trim_R2	2917.0	14218.0
Kakamega-106_S84_L001_paired_trim_R1	2608.0	9606.0
Kakamega-106_S84_L001_paired_trim_R2	2704.0	9510.0
Kakamega-108_S85_L001_paired_trim_R1	8921.0	57859.0
Kakamega-108_S85_L001_paired_trim_R2	10220.0	56560.0
Kakamega-111_S86_L001_paired_trim_R1	5373.0	28964.0
Kakamega-111_S86_L001_paired_trim_R2	5663.0	28674.0
Kakamega-114_S87_L001_paired_trim_R1	5175.0	26123.0
Kakamega-114_S87_L001_paired_trim_R2	5462.0	25836.0
Kakamega-115_S88_L001_paired_trim_R1	4218.0	29092.0
Kakamega-115_S88_L001_paired_trim_R2	4317.0	28993.0
Kakamega-116_S89_L001_paired_trim_R1	3991.0	26310.0
Kakamega-116_S89_L001_paired_trim_R2	4389.0	25912.0
Kakamega-91_S72_L001_paired_trim_R1	1664.0	6794.0
Kakamega-91_S72_L001_paired_trim_R2	2217.0	6241.0
Kakamega-92_S73_L001_paired_trim_R1	5455.0	32826.0
Kakamega-92_S73_L001_paired_trim_R2	7010.0	31271.0
Kakamega-93_S74_L001_paired_trim_R1	3118.0	13299.0
Kakamega-93_S74_L001_paired_trim_R2	3284.0	13133.0
Kakamega-94_S75_L001_paired_trim_R1	4082.0	16520.0
Kakamega-94_S75_L001_paired_trim_R2	4763.0	15839.0
Kakamega-96_S76_L001_paired_trim_R1	3208.0	19085.0
Kakamega-96_S76_L001_paired_trim_R2	3267.0	19026.0
Kakamega-97_S77_L001_paired_trim_R1	2989.0	19322.0
Kakamega-97_S77_L001_paired_trim_R2	3775.0	18536.0
Kakamega-98_S78_L001_paired_trim_R1	2557.0	14356.0
Kakamega-98_S78_L001_paired_trim_R2	2783.0	14130.0
Kakamega-99_S79_L001_paired_trim_R1	2729.0	13133.0
Kakamega-99_S79_L001_paired_trim_R2	2804.0	13058.0
Kilifi-Coast-61_S49_L001_paired_trim_R1	2695.0	12738.0
Kilifi-Coast-61_S49_L001_paired_trim_R2	3204.0	12229.0
Kilifi-Coast-62_S50_L001_paired_trim_R1	3010.0	9977.0
Kilifi-Coast-62_S50_L001_paired_trim_R2	3280.0	9707.0
Kilifi-Coast-63_S51_L001_paired_trim_R1	3368.0	14932.0
Kilifi-Coast-63_S51_L001_paired_trim_R2	3586.0	14714.0
Kilifi-Coast-64_S52_L001_paired_trim_R1	2218.0	11165.0
