	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-101_S80_L001_paired_trim_R1	3.0	7.0	3.0	3.0	1.0	2.0	2.0	9.0	18.0	12.0	4.0	6.0	5.0	9.0	8.0	5.0	22.0	5.0	4.0	2.0	8.0	6.0	8.0	9.0	10.0	8.0	12.0	11.0	11.0	13.0	11.0	17.0	10.0	11.0	13.0	16.0	12.0	18.0	19.0	12.0	20.0	19.0	98.0	20061.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-101_S80_L001_paired_trim_R2	29.0	57.0	21.0	31.0	20.0	15.0	16.0	11.0	14.0	14.0	9.0	12.0	16.0	18.0	28.0	26.0	31.0	19.0	9.0	19.0	19.0	24.0	22.0	26.0	17.0	35.0	49.0	26.0	51.0	79.0	71.0	49.0	68.0	67.0	53.0	91.0	104.0	175.0	161.0	175.0	190.0	258.0	575.0	17763.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-102_S81_L001_paired_trim_R1	3.0	10.0	2.0	8.0	4.0	2.0	1.0	14.0	22.0	9.0	3.0	5.0	5.0	17.0	16.0	10.0	16.0	13.0	12.0	4.0	11.0	11.0	9.0	14.0	8.0	6.0	10.0	13.0	12.0	14.0	21.0	14.0	10.0	12.0	8.0	12.0	8.0	28.0	19.0	16.0	19.0	27.0	98.0	21828.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-102_S81_L001_paired_trim_R2	37.0	55.0	31.0	37.0	25.0	13.0	23.0	19.0	12.0	16.0	9.0	18.0	25.0	39.0	31.0	47.0	47.0	19.0	16.0	28.0	21.0	34.0	39.0	37.0	28.0	35.0	42.0	54.0	84.0	107.0	109.0	62.0	71.0	120.0	80.0	121.0	146.0	248.0	203.0	258.0	286.0	321.0	723.0	18628.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-103_S82_L001_paired_trim_R1	4.0	4.0	5.0	5.0	1.0	5.0	4.0	3.0	16.0	7.0	4.0	9.0	12.0	5.0	10.0	6.0	12.0	9.0	5.0	4.0	4.0	17.0	8.0	11.0	7.0	6.0	10.0	8.0	8.0	14.0	17.0	20.0	12.0	16.0	13.0	10.0	6.0	24.0	25.0	33.0	21.0	21.0	142.0	23305.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-103_S82_L001_paired_trim_R2	38.0	63.0	37.0	40.0	30.0	17.0	22.0	12.0	10.0	24.0	12.0	33.0	31.0	23.0	23.0	22.0	33.0	13.0	16.0	16.0	17.0	25.0	42.0	32.0	13.0	20.0	35.0	51.0	68.0	79.0	106.0	83.0	69.0	105.0	100.0	152.0	209.0	276.0	313.0	497.0	600.0	539.0	1042.0	18900.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
