Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Kakamega-101_S80_L001_paired_trim_R1	Kakamega-101_S80_L001_paired_trim_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	20563.0	0.0	36-251	51.0	13.086611875699072	249.25472936828282	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-101_S80_L001_paired_trim_R2	Kakamega-101_S80_L001_paired_trim_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	20563.0	0.0	36-251	51.0	13.762583280649709	243.98424354422994	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-102_S81_L001_paired_trim_R1	Kakamega-102_S81_L001_paired_trim_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	22404.0	0.0	36-251	50.0	14.671487234422425	249.00754329584004	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-102_S81_L001_paired_trim_R2	Kakamega-102_S81_L001_paired_trim_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	22404.0	0.0	36-251	50.0	14.94376004284949	242.3785931083735	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-103_S82_L001_paired_trim_R1	Kakamega-103_S82_L001_paired_trim_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	23888.0	0.0	36-251	49.0	13.960984594775619	249.44285833891493	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-103_S82_L001_paired_trim_R2	Kakamega-103_S82_L001_paired_trim_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	23888.0	0.0	36-251	49.0	15.137307434695243	242.51783322170127	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-105_S83_L001_paired_trim_R1	Kakamega-105_S83_L001_paired_trim_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	17135.0	0.0	36-251	50.0	16.206594689232563	248.6267872775022	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-105_S83_L001_paired_trim_R2	Kakamega-105_S83_L001_paired_trim_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	17135.0	0.0	36-251	50.0	17.017799824919756	240.7843011380216	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-106_S84_L001_paired_trim_R1	Kakamega-106_S84_L001_paired_trim_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	12214.0	0.0	42-251	50.0	21.352546258392007	248.76977239233668	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-106_S84_L001_paired_trim_R2	Kakamega-106_S84_L001_paired_trim_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	12214.0	0.0	36-251	50.0	22.13852955624693	240.6534304896021	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-108_S85_L001_paired_trim_R1	Kakamega-108_S85_L001_paired_trim_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	66780.0	0.0	36-251	50.0	13.358790056903263	247.12452830188678	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-108_S85_L001_paired_trim_R2	Kakamega-108_S85_L001_paired_trim_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	66780.0	0.0	36-251	50.0	15.30398322851153	240.35976340221623	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-111_S86_L001_paired_trim_R1	Kakamega-111_S86_L001_paired_trim_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	34337.0	0.0	36-251	50.0	15.647843434196348	248.8321344322451	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-111_S86_L001_paired_trim_R2	Kakamega-111_S86_L001_paired_trim_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	34337.0	0.0	36-251	51.0	16.49241343157527	238.12610303753968	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-114_S87_L001_paired_trim_R1	Kakamega-114_S87_L001_paired_trim_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	31298.0	0.0	36-251	52.0	16.534602850022363	248.6838775640616	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-114_S87_L001_paired_trim_R2	Kakamega-114_S87_L001_paired_trim_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	31298.0	0.0	36-251	52.0	17.451594351076746	239.7942999552687	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-115_S88_L001_paired_trim_R1	Kakamega-115_S88_L001_paired_trim_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	33310.0	0.0	37-251	50.0	12.662864004803362	249.68120684479135	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-115_S88_L001_paired_trim_R2	Kakamega-115_S88_L001_paired_trim_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	33310.0	0.0	36-251	51.0	12.960072050435304	242.65884118883218	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-116_S89_L001_paired_trim_R1	Kakamega-116_S89_L001_paired_trim_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	30301.0	0.0	38-251	50.0	13.171182469225437	249.05217649582522	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-116_S89_L001_paired_trim_R2	Kakamega-116_S89_L001_paired_trim_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	30301.0	0.0	36-251	50.0	14.484670472921685	241.4619319494406	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-91_S72_L001_paired_trim_R1	Kakamega-91_S72_L001_paired_trim_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	8458.0	0.0	38-251	51.0	19.67368172144715	238.7236935445732	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-91_S72_L001_paired_trim_R2	Kakamega-91_S72_L001_paired_trim_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	8458.0	0.0	36-251	52.0	26.211870418538663	227.768148498463	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-92_S73_L001_paired_trim_R1	Kakamega-92_S73_L001_paired_trim_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	38281.0	0.0	36-251	50.0	14.249888978866801	244.10783417361094	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-92_S73_L001_paired_trim_R2	Kakamega-92_S73_L001_paired_trim_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	38281.0	0.0	36-251	50.0	18.30934406102244	236.45910503905333	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-93_S74_L001_paired_trim_R1	Kakamega-93_S74_L001_paired_trim_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	16417.0	0.0	38-251	50.0	18.99250776633977	248.64749954315647	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-93_S74_L001_paired_trim_R2	Kakamega-93_S74_L001_paired_trim_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	16417.0	0.0	36-251	50.0	20.00365474812694	241.6892245842724	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-94_S75_L001_paired_trim_R1	Kakamega-94_S75_L001_paired_trim_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	20602.0	0.0	37-251	51.0	19.813610329094264	244.58533152121154	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-94_S75_L001_paired_trim_R2	Kakamega-94_S75_L001_paired_trim_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	20602.0	0.0	36-251	51.0	23.119114649063196	233.77657508979712	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-96_S76_L001_paired_trim_R1	Kakamega-96_S76_L001_paired_trim_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	22293.0	0.0	36-251	52.0	14.39016731709505	249.6840712331225	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-96_S76_L001_paired_trim_R2	Kakamega-96_S76_L001_paired_trim_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	22293.0	0.0	36-251	52.0	14.65482438433589	242.63118467680437	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-97_S77_L001_paired_trim_R1	Kakamega-97_S77_L001_paired_trim_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	22311.0	0.0	36-251	52.0	13.39697906862086	245.20227690376944	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-97_S77_L001_paired_trim_R2	Kakamega-97_S77_L001_paired_trim_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	22311.0	0.0	36-251	52.0	16.919904979606475	234.94702164851418	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-98_S78_L001_paired_trim_R1	Kakamega-98_S78_L001_paired_trim_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	16913.0	0.0	42-251	52.0	15.118547862590907	247.8021048897298	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-98_S78_L001_paired_trim_R2	Kakamega-98_S78_L001_paired_trim_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	16913.0	0.0	36-251	52.0	16.448885472713297	239.59433571808668	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Kakamega-99_S79_L001_paired_trim_R1	Kakamega-99_S79_L001_paired_trim_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	15862.0	0.0	36-251	50.0	17.204640020174	249.2572185096457	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
