Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Kakamega-101_S80_L001_R1_001	4.631930950336662	67.91992408152197
Kakamega-101_S80_L001_R2_001	5.8294545618871165	64.37254281711775
Kakamega-102_S81_L001_R1_001	4.981549815498155	65.62525625256247
Kakamega-102_S81_L001_R2_001	5.346453464534645	62.66092660926601
Kakamega-103_S82_L001_R1_001	3.916111328890631	67.35789886319093
Kakamega-103_S82_L001_R2_001	4.527636221089769	64.2924343394747
Kakamega-105_S83_L001_R1_001	4.409672830725462	65.69872958257719
Kakamega-105_S83_L001_R2_001	4.463628783048021	61.4950703879924
Kakamega-106_S84_L001_R1_001	2.5451381335653687	61.57639039953602
Kakamega-106_S84_L001_R2_001	2.7916757305489086	58.41490827351182
Kakamega-108_S85_L001_R1_001	5.245020964360587	59.71829140461217
Kakamega-108_S85_L001_R2_001	5.94601677148847	52.37290356394132
Kakamega-111_S86_L001_R1_001	3.1825931639197855	63.432654055370655
Kakamega-111_S86_L001_R2_001	3.7942139590268193	59.440881166950824
Kakamega-114_S87_L001_R1_001	3.0703182827535156	61.27017024426351
Kakamega-114_S87_L001_R2_001	3.5588452997779423	58.549222797927456
Kakamega-115_S88_L001_R1_001	2.2784592456723605	68.12163246589473
Kakamega-115_S88_L001_R2_001	3.553823225954374	67.0784133898888
Kakamega-116_S89_L001_R1_001	3.2120374635344695	66.49163212037459
Kakamega-116_S89_L001_R2_001	3.7494242284661445	62.269307538768565
Kakamega-91_S72_L001_R1_001	19.189877866619806	53.545382655302646
Kakamega-91_S72_L001_R2_001	3.057727791933925	49.35418680256567
Kakamega-92_S73_L001_R1_001	19.220358405943134	51.72188963309826
Kakamega-92_S73_L001_R2_001	4.807065378460079	45.63056922134629
Kakamega-93_S74_L001_R1_001	3.3260869565217392	61.913043478260825
Kakamega-93_S74_L001_R2_001	3.733695652173913	57.282608695652144
Kakamega-94_S75_L001_R1_001	17.299499907390256	46.949435080570495
Kakamega-94_S75_L001_R2_001	2.585664011854047	44.07853306167811
Kakamega-96_S76_L001_R1_001	1.9797382861967077	68.03714647530607
Kakamega-96_S76_L001_R2_001	3.938370620514985	64.92190797804984
Kakamega-97_S77_L001_R1_001	18.017669212628913	56.09799021505761
Kakamega-97_S77_L001_R2_001	2.013304705923762	52.733096335926206
Kakamega-98_S78_L001_R1_001	8.310418576229758	63.10724106324472
Kakamega-98_S78_L001_R2_001	4.761177309298299	57.65862104083914
Kakamega-99_S79_L001_R1_001	3.063910827311936	64.00044810396011
Kakamega-99_S79_L001_R2_001	3.433596594409903	60.90853077914072
Kilifi-Coast-61_S49_L001_R1_001	14.443621747408505	55.7065792257246
Kilifi-Coast-61_S49_L001_R2_001	4.490162894013116	50.06346519991538
Kilifi-Coast-62_S50_L001_R1_001	7.368960656157888	53.11418685121106
Kilifi-Coast-62_S50_L001_R2_001	2.966807638087915	50.76893502499035
Kilifi-Coast-63_S51_L001_R1_001	6.037427238177708	60.60999663251071
Kilifi-Coast-63_S51_L001_R2_001	4.594217539808534	54.94299321691441
Kilifi-Coast-64_S52_L001_R1_001	3.572192513368984	66.50267379679144
Kilifi-Coast-64_S52_L001_R2_001	3.7575757575757573	66.44563279857394
Kilifi-Coast-65_S53_L001_R1_001	11.959389698290696	60.622920729608765
Kilifi-Coast-65_S53_L001_R2_001	4.30767465871286	56.45864402890905
Kilifi-Coast-66_S54_L001_R1_001	10.90670170827858	59.00131406044682
