Sample	Unique Reads	Duplicate Reads
Kakamega-101_S80_L001_R1_001	3464.0	18665.0
Kakamega-101_S80_L001_R2_001	3924.0	18205.0
Kakamega-102_S81_L001_R1_001	4174.0	20216.0
Kakamega-102_S81_L001_R2_001	4689.0	19701.0
Kakamega-103_S82_L001_R1_001	4107.0	21403.0
Kakamega-103_S82_L001_R2_001	4776.0	20734.0
Kakamega-105_S83_L001_R1_001	3729.0	16658.0
Kakamega-105_S83_L001_R2_001	4524.0	15863.0
Kakamega-106_S84_L001_R1_001	3362.0	10429.0
Kakamega-106_S84_L001_R2_001	3789.0	10002.0
Kakamega-108_S85_L001_R1_001	11500.0	64820.0
Kakamega-108_S85_L001_R2_001	16672.0	59648.0
Kakamega-111_S86_L001_R1_001	6562.0	30389.0
Kakamega-111_S86_L001_R2_001	7399.0	29552.0
Kakamega-114_S87_L001_R1_001	6417.0	27358.0
Kakamega-114_S87_L001_R2_001	7179.0	26596.0
Kakamega-115_S88_L001_R1_001	5208.0	29684.0
Kakamega-115_S88_L001_R2_001	5358.0	29534.0
Kakamega-116_S89_L001_R1_001	4950.0	27615.0
Kakamega-116_S89_L001_R2_001	6104.0	26461.0
Kakamega-91_S72_L001_R1_001	2217.0	9164.0
Kakamega-91_S72_L001_R2_001	4433.0	6948.0
Kakamega-92_S73_L001_R1_001	7068.0	43545.0
Kakamega-92_S73_L001_R2_001	16945.0	33668.0
Kakamega-93_S74_L001_R1_001	3953.0	14447.0
Kakamega-93_S74_L001_R2_001	4657.0	13743.0
Kakamega-94_S75_L001_R1_001	5268.0	21727.0
Kakamega-94_S75_L001_R2_001	10010.0	16985.0
Kakamega-96_S76_L001_R1_001	4106.0	19584.0
Kakamega-96_S76_L001_R2_001	4229.0	19461.0
Kakamega-97_S77_L001_R1_001	3826.0	24585.0
Kakamega-97_S77_L001_R2_001	9143.0	19268.0
Kakamega-98_S78_L001_R1_001	3347.0	16291.0
Kakamega-98_S78_L001_R2_001	5019.0	14619.0
Kakamega-99_S79_L001_R1_001	3491.0	14362.0
Kakamega-99_S79_L001_R2_001	3870.0	13983.0
Kilifi-Coast-61_S49_L001_R1_001	3409.0	15499.0
Kilifi-Coast-61_S49_L001_R2_001	6308.0	12600.0
Kilifi-Coast-62_S50_L001_R1_001	3964.0	11642.0
Kilifi-Coast-62_S50_L001_R2_001	5250.0	10356.0
Kilifi-Coast-63_S51_L001_R1_001	4283.0	16504.0
Kilifi-Coast-63_S51_L001_R2_001	5565.0	15222.0
Kilifi-Coast-64_S52_L001_R1_001	2665.0	11360.0
Kilifi-Coast-64_S52_L001_R2_001	2646.0	11379.0
Kilifi-Coast-65_S53_L001_R1_001	2816.0	14618.0
Kilifi-Coast-65_S53_L001_R2_001	4901.0	12533.0
Kilifi-Coast-66_S54_L001_R1_001	2816.0	11643.0
Kilifi-Coast-66_S54_L001_R2_001	4421.0	10038.0
Kilifi-Coast-67_S55_L001_R1_001	3670.0	18871.0
Kilifi-Coast-67_S55_L001_R2_001	4202.0	18339.0
Kilifi-Coast-68_S56_L001_R1_001	2931.0	7978.0
Kilifi-Coast-68_S56_L001_R2_001	3314.0	7595.0
Kilifi-Coast-69_S57_L001_R1_001	4318.0	24476.0
Kilifi-Coast-69_S57_L001_R2_001	5045.0	23749.0
Kilifi-Coast-71_S58_L001_R1_001	3572.0	13135.0
Kilifi-Coast-71_S58_L001_R2_001	3879.0	12828.0
Kilifi-Coast-72_S59_L001_R1_001	3181.0	10813.0
Kilifi-Coast-72_S59_L001_R2_001	3506.0	10488.0
Kilifi-Coast-73_S60_L001_R1_001	2140.0	4401.0
Kilifi-Coast-73_S60_L001_R2_001	2334.0	4207.0
Kilifi-Coast-74_S61_L001_R1_001	6674.0	25711.0
Kilifi-Coast-74_S61_L001_R2_001	8243.0	24142.0
Kilifi-Coast-75_S62_L001_R1_001	5735.0	21382.0
Kilifi-Coast-75_S62_L001_R2_001	8280.0	18837.0
Kilifi-Coast-76_S63_L001_R1_001	5863.0	24032.0
Kilifi-Coast-76_S63_L001_R2_001	8210.0	21685.0
Kilifi-Coast-77_S64_L001_R1_001	5449.0	28806.0
Kilifi-Coast-77_S64_L001_R2_001	5416.0	28839.0
Kilifi-Coast-78_S65_L001_R1_001	3642.0	17091.0
Kilifi-Coast-78_S65_L001_R2_001	3962.0	16771.0
Kilifi-Coast-79_S66_L001_R1_001	4501.0	22939.0
Kilifi-Coast-79_S66_L001_R2_001	7619.0	19821.0
Kilifi-Coast-84_S67_L001_R1_001	4439.0	26905.0
Kilifi-Coast-84_S67_L001_R2_001	4777.0	26567.0
Kilifi-Coast-85_S68_L001_R1_001	4944.0	24621.0
Kilifi-Coast-85_S68_L001_R2_001	5257.0	24308.0
Kilifi-Coast-86_S69_L001_R1_001	5807.0	23457.0
Kilifi-Coast-86_S69_L001_R2_001	7068.0	22196.0
