Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Kakamega-101_S80_L001_R1_001	Kakamega-101_S80_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	22129.0	0.0	251.0	50.0	15.653667133625559	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Kakamega-101_S80_L001_R2_001	Kakamega-101_S80_L001_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	22129.0	0.0	251.0	51.0	17.732387364996157	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Kakamega-102_S81_L001_R1_001	Kakamega-102_S81_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	24390.0	0.0	251.0	50.0	17.113571135711357	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
Kakamega-102_S81_L001_R2_001	Kakamega-102_S81_L001_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	24390.0	0.0	251.0	50.0	19.22509225092251	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
Kakamega-103_S82_L001_R1_001	Kakamega-103_S82_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	25510.0	0.0	251.0	49.0	16.099568796550372	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Kakamega-103_S82_L001_R2_001	Kakamega-103_S82_L001_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	25510.0	0.0	251.0	50.0	18.72206977655821	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Kakamega-105_S83_L001_R1_001	Kakamega-105_S83_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	20387.0	0.0	251.0	50.0	18.29106783734733	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
Kakamega-105_S83_L001_R2_001	Kakamega-105_S83_L001_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	20387.0	0.0	251.0	51.0	22.190611664295876	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
Kakamega-106_S84_L001_R1_001	Kakamega-106_S84_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	13791.0	0.0	251.0	50.0	24.378217678195924	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
Kakamega-106_S84_L001_R2_001	Kakamega-106_S84_L001_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	13791.0	0.0	251.0	50.0	27.47443985207744	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
Kakamega-108_S85_L001_R1_001	Kakamega-108_S85_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	76320.0	0.0	251.0	49.0	15.068134171907758	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
Kakamega-108_S85_L001_R2_001	Kakamega-108_S85_L001_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	76320.0	0.0	251.0	50.0	21.843553459119498	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
Kakamega-111_S86_L001_R1_001	Kakamega-111_S86_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	36951.0	0.0	251.0	50.0	17.758653351736083	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Kakamega-111_S86_L001_R2_001	Kakamega-111_S86_L001_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	36951.0	0.0	251.0	51.0	20.02381532299532	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
