Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Kakamega-101_S80_L001_R1_001	84.34633286637444	50.0	251.0	36.36363636363637	22129.0
Kakamega-101_S80_L001_R2_001	82.26761263500384	51.0	251.0	36.36363636363637	22129.0
Kakamega-102_S81_L001_R1_001	82.88642886428865	50.0	251.0	36.36363636363637	24390.0
Kakamega-102_S81_L001_R2_001	80.77490774907749	50.0	251.0	36.36363636363637	24390.0
Kakamega-103_S82_L001_R1_001	83.90043120344963	49.0	251.0	36.36363636363637	25510.0
Kakamega-103_S82_L001_R2_001	81.27793022344179	50.0	251.0	36.36363636363637	25510.0
Kakamega-105_S83_L001_R1_001	81.70893216265267	50.0	251.0	45.45454545454545	20387.0
Kakamega-105_S83_L001_R2_001	77.80938833570413	51.0	251.0	45.45454545454545	20387.0
Kakamega-106_S84_L001_R1_001	75.62178232180408	50.0	251.0	36.36363636363637	13791.0
Kakamega-106_S84_L001_R2_001	72.52556014792256	50.0	251.0	36.36363636363637	13791.0
Kakamega-108_S85_L001_R1_001	84.93186582809224	49.0	251.0	36.36363636363637	76320.0
Kakamega-108_S85_L001_R2_001	78.1564465408805	50.0	251.0	36.36363636363637	76320.0
Kakamega-111_S86_L001_R1_001	82.24134664826391	50.0	251.0	36.36363636363637	36951.0
Kakamega-111_S86_L001_R2_001	79.97618467700468	51.0	251.0	36.36363636363637	36951.0
Kakamega-114_S87_L001_R1_001	81.00074019245004	52.0	251.0	36.36363636363637	33775.0
Kakamega-114_S87_L001_R2_001	78.74463360473723	52.0	251.0	36.36363636363637	33775.0
Kakamega-115_S88_L001_R1_001	85.07394245099164	50.0	251.0	36.36363636363637	34892.0
Kakamega-115_S88_L001_R2_001	84.64404448011005	51.0	251.0	36.36363636363637	34892.0
Kakamega-116_S89_L001_R1_001	84.79963150621833	50.0	251.0	36.36363636363637	32565.0
Kakamega-116_S89_L001_R2_001	81.25594963918317	51.0	251.0	36.36363636363637	32565.0
Kakamega-91_S72_L001_R1_001	80.5289517617081	49.0	251.0	36.36363636363637	11381.0
Kakamega-91_S72_L001_R2_001	61.04911694930147	49.0	251.0	36.36363636363637	11381.0
Kakamega-92_S73_L001_R1_001	86.03520834568194	48.0	251.0	36.36363636363637	50613.0
Kakamega-92_S73_L001_R2_001	66.52045917056883	50.0	251.0	36.36363636363637	50613.0
Kakamega-93_S74_L001_R1_001	78.5163043478261	50.0	251.0	36.36363636363637	18400.0
Kakamega-93_S74_L001_R2_001	74.69021739130434	50.0	251.0	36.36363636363637	18400.0
Kakamega-94_S75_L001_R1_001	80.48527505093536	49.0	251.0	36.36363636363637	26995.0
Kakamega-94_S75_L001_R2_001	62.919059085015746	51.0	251.0	36.36363636363637	26995.0
Kakamega-96_S76_L001_R1_001	82.6720135078092	52.0	251.0	36.36363636363637	23690.0
Kakamega-96_S76_L001_R2_001	82.15280709159983	52.0	251.0	36.36363636363637	23690.0
Kakamega-97_S77_L001_R1_001	86.53338495653092	50.0	251.0	36.36363636363637	28411.0
Kakamega-97_S77_L001_R2_001	67.82232233993875	51.0	251.0	36.36363636363637	28411.0
Kakamega-98_S78_L001_R1_001	82.95651288318567	51.0	251.0	36.36363636363637	19638.0
Kakamega-98_S78_L001_R2_001	74.44240757714635	52.0	251.0	36.36363636363637	19638.0
Kakamega-99_S79_L001_R1_001	80.44586344031816	50.0	251.0	36.36363636363637	17853.0
Kakamega-99_S79_L001_R2_001	78.32857222875707	51.0	251.0	36.36363636363637	17853.0
Kilifi-Coast-61_S49_L001_R1_001	81.97059445737254	49.0	251.0	36.36363636363637	18908.0
Kilifi-Coast-61_S49_L001_R2_001	66.63845991114871	50.0	251.0	36.36363636363637	18908.0
Kilifi-Coast-62_S50_L001_R1_001	74.5995130078175	48.0	251.0	36.36363636363637	15606.0
Kilifi-Coast-62_S50_L001_R2_001	66.35909265667051	49.0	251.0	36.36363636363637	15606.0
Kilifi-Coast-63_S51_L001_R1_001	79.39577620628278	50.0	251.0	36.36363636363637	20787.0
